SSIP,SSP,SDFP,SDFB,SFE,label
240.5,240.5,0.0,0.0,240.5,1
239.5,239.5,0.0,0.0,239.5,1
240.5,240.5,1809.1164841497794,97692.29014409026,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,18.52031530514743,1000.0970264779622,240.5,1
240.5,240.5,4.98980249089368,269.44933450825494,240.5,1
240.5,240.5,32.764389167283376,1769.277015033301,240.5,1
240.5,240.5,25.959988403714583,1401.8393738005905,240.5,1
240.5,240.5,14.736634594384121,795.77826809674,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,8.990639623052479,485.49453964483024,240.5,1
240.5,240.5,14.247587971083469,769.3697504385106,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,24.460838913100275,1320.8853013074136,240.5,1
240.5,240.5,12.98647945552011,701.2698905980872,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,11.98751949740312,647.3260528597763,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
50.5,50.5,0.0,0.0,50.5,1
240.5,240.5,1809.1164841497794,97692.29014409026,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,18.52031530514743,1000.0970264779622,240.5,1
240.5,240.5,4.98980249089368,269.44933450825494,240.5,1
240.5,240.5,32.764389167283376,1769.277015033301,240.5,1
240.5,240.5,25.959988403714583,1401.8393738005905,240.5,1
240.5,240.5,14.736634594384121,795.77826809674,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,8.990639623052479,485.49453964483024,240.5,1
240.5,240.5,14.247587971083469,769.3697504385106,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,24.460838913100275,1320.8853013074136,240.5,1
240.5,240.5,12.98647945552011,701.2698905980872,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,11.98751949740312,647.3260528597763,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
62.0,62.0,0.0,0.0,62.0,1
240.5,240.5,1809.1164841497794,97692.29014409026,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,18.52031530514743,1000.0970264779622,240.5,1
240.5,240.5,4.98980249089368,269.44933450825494,240.5,1
240.5,240.5,32.764389167283376,1769.277015033301,240.5,1
240.5,240.5,25.959988403714583,1401.8393738005905,240.5,1
240.5,240.5,14.736634594384121,795.77826809674,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,8.990639623052479,485.49453964483024,240.5,1
240.5,240.5,14.247587971083469,769.3697504385106,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,24.460838913100275,1320.8853013074136,240.5,1
240.5,240.5,12.98647945552011,701.2698905980872,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,11.98751949740312,647.3260528597763,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
101.5,101.5,0.0,0.0,101.5,1
240.5,240.5,1809.1164841497794,97692.29014409026,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,18.52031530514743,1000.0970264779622,240.5,1
240.5,240.5,4.98980249089368,269.44933450825494,240.5,1
240.5,240.5,32.764389167283376,1769.277015033301,240.5,1
240.5,240.5,25.959988403714583,1401.8393738005905,240.5,1
240.5,240.5,14.736634594384121,795.77826809674,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,8.990639623052479,485.49453964483024,240.5,1
240.5,240.5,14.247587971083469,769.3697504385106,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,24.460838913100275,1320.8853013074136,240.5,1
240.5,240.5,12.98647945552011,701.2698905980872,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,11.98751949740312,647.3260528597763,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
113.5,113.5,0.0,0.0,113.5,1
240.5,240.5,1809.1164841497794,97692.29014409026,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,18.52031530514743,1000.0970264779622,240.5,1
240.5,240.5,4.98980249089368,269.44933450825494,240.5,1
240.5,240.5,32.764389167283376,1769.277015033301,240.5,1
240.5,240.5,25.959988403714583,1401.8393738005905,240.5,1
240.5,240.5,14.736634594384121,795.77826809674,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,8.990639623052479,485.49453964483024,240.5,1
240.5,240.5,14.247587971083469,769.3697504385106,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,24.460838913100275,1320.8853013074136,240.5,1
240.5,240.5,12.98647945552011,701.2698905980872,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,11.98751949740312,647.3260528597763,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
153.0,153.0,0.0,0.0,153.0,1
240.5,240.5,1809.1164841497794,97692.29014409026,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,18.52031530514743,1000.0970264779622,240.5,1
240.5,240.5,4.98980249089368,269.44933450825494,240.5,1
240.5,240.5,32.764389167283376,1769.277015033301,240.5,1
240.5,240.5,25.959988403714583,1401.8393738005905,240.5,1
240.5,240.5,14.736634594384121,795.77826809674,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,8.990639623052479,485.49453964483024,240.5,1
240.5,240.5,14.247587971083469,769.3697504385106,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,24.460838913100275,1320.8853013074136,240.5,1
240.5,240.5,12.98647945552011,701.2698905980872,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,11.98751949740312,647.3260528597763,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
205.0,203.5,0.0,0.0,205.0,1
240.5,240.5,1809.1164841497794,97692.29014409026,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,18.52031530514743,1000.0970264779622,240.5,1
240.5,240.5,4.98980249089368,269.44933450825494,240.5,1
240.5,240.5,32.764389167283376,1769.277015033301,240.5,1
240.5,240.5,25.959988403714583,1401.8393738005905,240.5,1
240.5,240.5,14.736634594384121,795.77826809674,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,8.990639623052479,485.49453964483024,240.5,1
240.5,240.5,14.247587971083469,769.3697504385106,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,24.460838913100275,1320.8853013074136,240.5,1
240.5,240.5,12.98647945552011,701.2698905980872,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,11.98751949740312,647.3260528597763,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
220.5,219.0,0.0,0.0,220.5,1
240.5,240.5,1809.1164841497794,97692.29014409026,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,18.52031530514743,1000.0970264779622,240.5,1
240.5,240.5,4.98980249089368,269.44933450825494,240.5,1
240.5,240.5,32.764389167283376,1769.277015033301,240.5,1
240.5,240.5,25.959988403714583,1401.8393738005905,240.5,1
240.5,240.5,14.736634594384121,795.77826809674,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,8.990639623052479,485.49453964483024,240.5,1
240.5,240.5,14.247587971083469,769.3697504385106,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,24.460838913100275,1320.8853013074136,240.5,1
240.5,240.5,12.98647945552011,701.2698905980872,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,11.98751949740312,647.3260528597763,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
236.5,235.0,0.0,0.0,236.5,1
240.5,240.5,1809.1164841497794,97692.29014409026,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,18.52031530514743,1000.0970264779622,240.5,1
240.5,240.5,4.98980249089368,269.44933450825494,240.5,1
240.5,240.5,32.764389167283376,1769.277015033301,240.5,1
240.5,240.5,25.959988403714583,1401.8393738005905,240.5,1
240.5,240.5,14.736634594384121,795.77826809674,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,8.990639623052479,485.49453964483024,240.5,1
240.5,240.5,14.247587971083469,769.3697504385106,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,24.460838913100275,1320.8853013074136,240.5,1
240.5,240.5,12.98647945552011,701.2698905980872,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,11.98751949740312,647.3260528597763,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,239.0,0.0,0.0,240.5,1
8.5,8.5,0.0,0.0,8.5,1
240.5,240.5,1809.1164841497794,97692.29014409026,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,18.52031530514743,1000.0970264779622,240.5,1
240.5,240.5,4.98980249089368,269.44933450825494,240.5,1
240.5,240.5,32.764389167283376,1769.277015033301,240.5,1
240.5,240.5,25.959988403714583,1401.8393738005905,240.5,1
240.5,240.5,14.736634594384121,795.77826809674,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,8.990639623052479,485.49453964483024,240.5,1
240.5,240.5,14.247587971083469,769.3697504385106,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,24.460838913100275,1320.8853013074136,240.5,1
240.5,240.5,12.98647945552011,701.2698905980872,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,11.98751949740312,647.3260528597763,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,239.0,0.0,0.0,240.5,1
11.0,11.0,0.9770084209183946,52.758454729593296,11.0,1
240.5,240.5,1809.1164841497794,97692.29014409026,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,18.52031530514743,1000.0970264779622,240.5,1
240.5,240.5,4.98980249089368,269.44933450825494,240.5,1
240.5,240.5,32.764389167283376,1769.277015033301,240.5,1
240.5,240.5,25.959988403714583,1401.8393738005905,240.5,1
240.5,240.5,14.736634594384121,795.77826809674,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,8.990639623052479,485.49453964483024,240.5,1
240.5,240.5,14.247587971083469,769.3697504385106,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,24.460838913100275,1320.8853013074136,240.5,1
240.5,240.5,12.98647945552011,701.2698905980872,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,11.98751949740312,647.3260528597763,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
240.5,240.5,0.0,0.0,240.5,1
